Time,Date,Day,Hum,Temp,Temp_feels,WE-mv,AUX-mv,LASER-V
0:1:5,1/1/2000,SAT,82.70,21.50,21.86,183.55,191.98,-0.14529
0:1:6,1/1/2000,SAT,82.70,21.50,21.86,206.57,216.03,-0.06687
0:1:6,1/1/2000,SAT,82.70,21.50,21.86,229.51,239.94,0.01134
0:1:6,1/1/2000,SAT,82.70,21.50,21.86,229.58,240.03,0.01154
0:1:7,1/1/2000,SAT,82.70,21.50,21.86,229.59,240.07,0.01153
0:1:7,1/1/2000,SAT,82.70,21.50,21.86,229.54,240.07,0.01133
0:1:7,1/1/2000,SAT,84.60,21.50,21.91,229.53,240.07,0.01127
0:1:7,1/1/2000,SAT,84.60,21.50,21.91,229.63,240.06,0.01171
0:1:8,1/1/2000,SAT,84.60,21.50,21.91,229.80,240.11,0.01243
0:1:9,1/1/2000,SAT,84.60,21.50,21.91,229.89,240.13,0.01281
0:1:9,1/1/2000,SAT,84.50,21.50,21.91,229.85,240.08,0.01268
0:1:10,1/1/2000,SAT,84.50,21.50,21.91,229.84,240.10,0.01263
0:1:10,1/1/2000,SAT,84.50,21.50,21.91,229.88,240.20,0.01271
0:1:10,1/1/2000,SAT,84.50,21.50,21.91,229.94,240.16,0.01302
0:1:10,1/1/2000,SAT,84.50,21.50,21.91,229.84,240.18,0.01255
0:1:11,1/1/2000,SAT,84.50,21.50,21.91,229.92,240.34,0.01274
0:1:11,1/1/2000,SAT,84.50,21.50,21.91,229.93,240.34,0.01281
0:1:11,1/1/2000,SAT,84.50,21.50,21.91,229.87,240.27,0.01261
0:1:12,1/1/2000,SAT,84.50,21.50,21.91,229.75,240.19,0.01215
0:1:12,1/1/2000,SAT,84.50,21.50,21.91,229.79,240.15,0.01237
0:1:12,1/1/2000,SAT,84.50,21.50,21.91,229.77,240.15,0.01227
0:1:12,1/1/2000,SAT,84.50,21.50,21.91,229.70,240.16,0.01195
0:1:13,1/1/2000,SAT,84.50,21.50,21.91,229.77,240.28,0.01215
0:1:13,1/1/2000,SAT,84.50,21.50,21.91,229.73,240.18,0.01207
0:1:13,1/1/2000,SAT,84.50,21.50,21.91,229.65,240.10,0.01180
0:1:13,1/1/2000,SAT,84.50,21.50,21.91,229.63,240.14,0.01166
0:1:14,1/1/2000,SAT,84.50,21.50,21.91,229.59,240.09,0.01152
0:1:14,1/1/2000,SAT,84.50,21.50,21.91,229.61,240.09,0.01161
0:1:14,1/1/2000,SAT,84.50,21.50,21.91,229.63,240.13,0.01164
0:1:14,1/1/2000,SAT,84.50,21.50,21.91,229.47,240.13,0.01094
0:1:15,1/1/2000,SAT,84.50,21.50,21.91,229.44,240.07,0.01085
0:1:15,1/1/2000,SAT,84.50,21.50,21.91,229.45,240.02,0.01098
0:1:15,1/1/2000,SAT,84.50,21.50,21.91,229.24,239.85,0.01021
0:1:15,1/1/2000,SAT,84.50,21.50,21.91,229.36,240.08,0.01049
0:1:16,1/1/2000,SAT,84.50,21.50,21.91,229.50,240.15,0.01103
0:1:17,1/1/2000,SAT,84.50,21.50,21.91,229.57,240.10,0.01142
0:1:17,1/1/2000,SAT,84.40,21.50,21.91,229.60,240.12,0.01153
0:1:17,1/1/2000,SAT,84.40,21.50,21.91,229.49,240.08,0.01110
0:1:17,1/1/2000,SAT,84.40,21.50,21.91,229.55,240.11,0.01134
0:1:18,1/1/2000,SAT,84.40,21.50,21.91,229.49,240.08,0.01110
