Time,Date,Day,Hum,Temp,Temp_feels,WE-mv,AUX-mv,LASER-V
0:1:5,1/1/2000,SAT,90.50,21.70,22.29,113.50,120.55,-0.38577
0:1:5,1/1/2000,SAT,90.50,21.70,22.29,136.29,144.83,-0.30863
0:1:6,1/1/2000,SAT,90.50,21.70,22.29,159.00,169.01,-0.23174
0:1:6,1/1/2000,SAT,90.50,21.70,22.29,181.75,193.11,-0.15457
0:1:6,1/1/2000,SAT,90.50,21.70,22.29,204.45,217.20,-0.07761
0:1:6,1/1/2000,SAT,90.50,21.70,22.29,227.20,241.39,-0.00053
0:1:7,1/1/2000,SAT,90.50,21.70,22.29,227.35,241.49,0.00003
0:1:7,1/1/2000,SAT,90.50,21.70,22.29,227.38,241.55,0.00011
0:1:7,1/1/2000,SAT,90.50,21.70,22.29,227.35,241.50,0.00003
0:1:8,1/1/2000,SAT,90.50,21.70,22.29,227.23,241.53,-0.00054
0:1:8,1/1/2000,SAT,91.50,21.60,22.20,227.25,241.62,-0.00055
0:1:9,1/1/2000,SAT,91.50,21.60,22.20,227.19,241.44,-0.00062
0:1:9,1/1/2000,SAT,91.50,21.60,22.20,227.27,241.43,-0.00026
0:1:9,1/1/2000,SAT,91.50,21.60,22.20,227.26,241.54,-0.00042
0:1:10,1/1/2000,SAT,91.50,21.60,22.20,227.32,241.65,-0.00027
0:1:10,1/1/2000,SAT,91.50,21.60,22.20,227.23,241.62,-0.00066
0:1:10,1/1/2000,SAT,91.50,21.60,22.20,227.13,241.61,-0.00106
0:1:10,1/1/2000,SAT,91.50,21.60,22.20,227.21,241.63,-0.00074
0:1:11,1/1/2000,SAT,91.50,21.60,22.20,227.23,241.70,-0.00073
0:1:11,1/1/2000,SAT,91.50,21.60,22.20,227.19,241.61,-0.00082
0:1:11,1/1/2000,SAT,91.50,21.60,22.20,227.18,241.64,-0.00088
0:1:12,1/1/2000,SAT,91.50,21.60,22.20,227.16,241.68,-0.00101
