Time,Date,Day,Hum,Temp,Temp_feels,WE-mv,AUX-mv,LASER-V
0:2:23,1/1/2000,SAT,77.20,22.50,22.82,227.70,238.92,0.00424
0:2:23,1/1/2000,SAT,77.20,22.50,22.82,227.60,238.80,0.00391
0:2:23,1/1/2000,SAT,77.20,22.50,22.82,227.55,238.94,0.00358
0:2:23,1/1/2000,SAT,77.20,22.50,22.82,227.48,238.99,0.00319
0:2:24,1/1/2000,SAT,77.20,22.50,22.82,227.44,238.83,0.00317
0:2:24,1/1/2000,SAT,77.20,22.50,22.82,227.44,238.92,0.00307
0:2:24,1/1/2000,SAT,77.20,22.50,22.82,227.52,239.03,0.00334
0:2:24,1/1/2000,SAT,77.20,22.50,22.82,227.55,239.16,0.00331
0:2:25,1/1/2000,SAT,77.20,22.50,22.82,227.33,238.95,0.00255
0:2:25,1/1/2000,SAT,77.20,22.50,22.82,227.14,238.87,0.00178
0:2:25,1/1/2000,SAT,77.20,22.50,22.82,227.08,238.73,0.00168
0:2:25,1/1/2000,SAT,77.20,22.50,22.82,227.21,238.72,0.00228
0:2:26,1/1/2000,SAT,77.20,22.50,22.82,227.29,238.76,0.00256
0:2:26,1/1/2000,SAT,77.20,22.50,22.82,227.28,238.82,0.00248
0:2:26,1/1/2000,SAT,77.20,22.50,22.82,227.39,238.94,0.00283
0:2:26,1/1/2000,SAT,77.20,22.50,22.82,227.32,238.86,0.00260
0:2:27,1/1/2000,SAT,77.20,22.50,22.82,227.36,238.94,0.00272
0:2:27,1/1/2000,SAT,77.20,22.50,22.82,227.32,238.86,0.00260
0:2:27,1/1/2000,SAT,77.20,22.50,22.82,227.37,238.91,0.00280
0:2:27,1/1/2000,SAT,77.20,22.50,22.82,227.36,238.93,0.00270
0:2:28,1/1/2000,SAT,77.20,22.50,22.82,227.43,239.20,0.00275
0:2:28,1/1/2000,SAT,77.20,22.50,22.82,227.44,239.36,0.00264
0:2:28,1/1/2000,SAT,77.20,22.50,22.82,227.49,239.39,0.00284
0:2:28,1/1/2000,SAT,77.20,22.50,22.82,227.60,239.39,0.00330
0:2:29,1/1/2000,SAT,77.20,22.50,22.82,227.47,239.37,0.00277
0:2:29,1/1/2000,SAT,77.20,22.50,22.82,227.63,239.42,0.00340
0:2:29,1/1/2000,SAT,77.20,22.50,22.82,227.57,239.41,0.00314
0:2:30,1/1/2000,SAT,77.20,22.50,22.82,227.58,239.41,0.00321
0:2:30,1/1/2000,SAT,77.20,22.50,22.82,227.69,239.46,0.00363
0:2:30,1/1/2000,SAT,77.20,22.50,22.82,227.82,239.55,0.00413
0:2:30,1/1/2000,SAT,77.20,22.50,22.82,227.79,239.43,0.00412
0:2:30,1/1/2000,SAT,77.20,22.50,22.82,227.82,239.40,0.00428
0:2:31,1/1/2000,SAT,77.20,22.50,22.82,227.81,239.35,0.00432
0:2:31,1/1/2000,SAT,77.20,22.50,22.82,227.79,239.35,0.00422
0:2:31,1/1/2000,SAT,77.20,22.50,22.82,227.92,239.50,0.00465
0:2:31,1/1/2000,SAT,77.20,22.50,22.82,227.71,239.40,0.00382
0:2:32,1/1/2000,SAT,77.20,22.50,22.82,227.77,239.28,0.00420
0:2:32,1/1/2000,SAT,77.20,22.50,22.82,227.82,239.28,0.00443
0:2:32,1/1/2000,SAT,77.20,22.50,22.82,227.72,239.23,0.00403
0:2:32,1/1/2000,SAT,77.20,22.50,22.82,227.65,239.12,0.00382
0:2:33,1/1/2000,SAT,77.20,22.50,22.82,227.59,239.12,0.00355
0:2:33,1/1/2000,SAT,77.30,22.50,22.82,227.50,239.07,0.00319
0:2:33,1/1/2000,SAT,77.30,22.50,22.82,227.49,239.05,0.00317
0:2:33,1/1/2000,SAT,77.30,22.50,22.82,227.57,239.13,0.00345
0:2:34,1/1/2000,SAT,77.30,22.50,22.82,227.50,239.02,0.00328
