Time,Date,Day,Hum,Temp,Temp_feels,WE-mv,AUX-mv,LASER-V,NaN
15:2:57,12/7/2024,FRI,99.90,24.40,25.50,137.06,143.45,0.025,-0.30373
15:2:58,12/7/2024,FRI,99.90,24.40,25.50,159.87,167.32,0.025,-0.22607
15:2:58,12/7/2024,FRI,99.90,24.40,25.50,182.68,191.23,0.025,-0.14847
15:2:58,12/7/2024,FRI,99.90,24.40,25.50,205.38,215.14,0.025,-0.07129
15:2:58,12/7/2024,FRI,99.90,24.40,25.50,228.19,239.13,0.025,0.00623
15:2:59,12/7/2024,FRI,99.90,24.40,25.50,228.20,239.14,0.025,0.00627
15:2:59,12/7/2024,FRI,99.90,24.40,25.50,228.09,239.12,0.025,0.00580
15:2:59,12/7/2024,FRI,99.90,24.40,25.50,228.03,239.09,0.025,0.00555
15:2:59,12/7/2024,FRI,99.90,24.40,25.50,227.85,239.03,0.025,0.00480
15:3:0,12/7/2024,FRI,99.90,24.40,25.50,228.00,239.21,0.025,0.00532
15:3:0,12/7/2024,FRI,99.90,24.40,25.50,228.18,239.24,0.025,0.00605
15:3:0,12/7/2024,FRI,99.90,24.40,25.50,228.17,239.19,0.025,0.00606
15:3:0,12/7/2024,FRI,99.90,24.40,25.50,228.30,239.20,0.025,0.00666
15:3:1,12/7/2024,FRI,99.90,24.40,25.50,228.40,239.20,0.025,0.00712
15:3:2,12/7/2024,FRI,99.90,24.40,25.50,228.49,239.21,0.025,0.00749
15:3:2,12/7/2024,FRI,99.90,24.40,25.50,228.50,239.30,0.025,0.00744
15:3:2,12/7/2024,FRI,99.90,24.40,25.50,228.48,239.23,0.025,0.00743
15:3:3,12/7/2024,FRI,99.90,24.40,25.50,228.57,239.29,0.025,0.00776
15:3:3,12/7/2024,FRI,99.90,24.40,25.50,228.63,239.20,0.025,0.00813
15:3:3,12/7/2024,FRI,99.90,24.40,25.50,228.52,239.07,0.025,0.00780
15:3:3,12/7/2024,FRI,99.90,24.40,25.50,228.43,239.16,0.025,0.00730
15:3:4,12/7/2024,FRI,99.90,24.40,25.50,228.53,239.26,0.025,0.00763
15:3:4,12/7/2024,FRI,99.90,24.40,25.50,228.44,239.28,0.025,0.00719
15:3:4,12/7/2024,FRI,99.90,24.40,25.50,228.48,239.26,0.025,0.00741
