Time,Date,Day,Hum,Temp,Temp_feels,WE-mv,AUX-mv,LASER-V
0:1:5,1/1/2000,SAT,99.90,21.30,22.09,159.41,166.81,-0.22761
0:1:5,1/1/2000,SAT,99.90,21.30,22.09,182.35,190.69,-0.14936
0:1:5,1/1/2000,SAT,99.90,21.30,22.09,205.13,214.62,-0.07189
0:1:6,1/1/2000,SAT,99.90,21.30,22.09,228.02,238.55,0.00609
0:1:6,1/1/2000,SAT,99.90,21.30,22.09,228.33,238.26,0.00776
0:1:6,1/1/2000,SAT,99.90,21.30,22.09,228.25,238.21,0.00747
0:1:6,1/1/2000,SAT,99.90,21.30,22.09,227.95,238.55,0.00575
0:1:7,1/1/2000,SAT,99.90,21.30,22.09,227.83,238.55,0.00523
0:1:7,1/1/2000,SAT,99.90,21.30,22.09,228.11,238.53,0.00649
0:1:7,1/1/2000,SAT,99.90,21.30,22.09,227.87,238.75,0.00518
0:1:7,1/1/2000,SAT,99.90,21.30,22.09,228.14,238.87,0.00626
0:1:8,1/1/2000,SAT,99.90,21.30,22.09,228.09,238.84,0.00607
0:1:8,1/1/2000,SAT,99.90,21.30,22.09,228.05,238.76,0.00597
0:1:8,1/1/2000,SAT,99.90,21.30,22.09,227.99,238.77,0.00571
0:1:9,1/1/2000,SAT,99.90,21.30,22.09,227.95,238.79,0.00549
0:1:9,1/1/2000,SAT,99.90,21.30,22.09,227.80,238.91,0.00469
0:1:10,1/1/2000,SAT,99.90,21.30,22.09,228.13,238.77,0.00631
0:1:10,1/1/2000,SAT,99.90,21.30,22.09,227.87,238.74,0.00522
0:1:10,1/1/2000,SAT,99.90,21.30,22.09,227.88,238.69,0.00528
0:1:10,1/1/2000,SAT,99.90,21.30,22.09,227.97,238.40,0.00601
0:1:11,1/1/2000,SAT,99.90,21.30,22.09,228.01,238.22,0.00636
0:1:11,1/1/2000,SAT,99.90,21.30,22.09,227.71,238.27,0.00497
0:1:12,1/1/2000,SAT,99.90,21.30,22.09,227.77,238.13,0.00538
0:1:12,1/1/2000,SAT,99.90,21.30,22.09,227.38,238.08,0.00369
0:1:12,1/1/2000,SAT,99.90,21.30,22.09,227.30,238.38,0.00300
0:1:12,1/1/2000,SAT,99.90,21.30,22.09,227.48,238.21,0.00399
0:1:12,1/1/2000,SAT,99.90,21.30,22.09,227.30,238.41,0.00301
0:1:13,1/1/2000,SAT,99.90,21.30,22.09,227.69,238.38,0.00477
0:1:13,1/1/2000,SAT,99.90,21.30,22.09,227.27,238.42,0.00282
0:1:13,1/1/2000,SAT,99.90,21.30,22.09,227.44,238.51,0.00350
0:1:13,1/1/2000,SAT,99.90,21.30,22.09,227.19,238.66,0.00224
0:1:14,1/1/2000,SAT,99.90,21.30,22.09,227.48,238.57,0.00361
0:1:14,1/1/2000,SAT,99.90,21.30,22.09,227.32,238.79,0.00268
0:1:14,1/1/2000,SAT,99.90,21.30,22.09,227.79,238.61,0.00498
0:1:14,1/1/2000,SAT,99.90,21.30,22.09,227.67,238.60,0.00445
0:1:15,1/1/2000,SAT,99.90,21.30,22.09,227.76,238.66,0.00478
0:1:15,1/1/2000,SAT,99.90,21.30,22.09,227.73,238.66,0.00466
0:1:16,1/1/2000,SAT,99.90,21.30,22.09,227.66,238.80,0.00419
0:1:16,1/1/2000,SAT,99.90,21.30,22.09,228.04,238.77,0.00595
0:1:16,1/1/2000,SAT,99.90,21.30,22.09,227.97,238.67,0.00574
0:1:17,1/1/2000,SAT,99.90,21.30,22.09,228.23,238.48,0.00709
0:1:17,1/1/2000,SAT,99.90,21.30,22.09,228.26,238.41,0.00731
0:1:17,1/1/2000,SAT,99.90,21.30,22.09,228.55,238.32,0.00868
0:1:17,1/1/2000,SAT,99.90,21.30,22.09,228.42,238.54,0.00789
0:1:18,1/1/2000,SAT,99.90,21.30,22.09,228.32,238.35,0.00761
0:1:18,1/1/2000,SAT,99.90,21.30,22.09,228.24,238.24,0.00737
0:1:18,1/1/2000,SAT,99.90,21.30,22.09,228.37,237.98,0.00823
0:1:18,1/1/2000,SAT,99.90,21.30,22.09,228.06,238.11,0.00670
0:1:19,1/1/2000,SAT,99.90,21.30,22.09,228.01,238.05,0.00653
0:1:19,1/1/2000,SAT,99.90,21.30,22.09,227.68,238.21,0.00490
0:1:19,1/1/2000,SAT,99.90,21.30,22.09,227.66,238.13,0.00488
0:1:19,1/1/2000,SAT,99.90,21.30,22.09,227.39,238.23,0.00358
0:1:20,1/1/2000,SAT,99.90,21.30,22.09,227.50,238.08,0.00420
0:1:20,1/1/2000,SAT,99.90,21.30,22.09,227.44,237.85,0.00421
0:1:20,1/1/2000,SAT,99.90,21.30,22.09,227.46,237.88,0.00424
0:1:20,1/1/2000,SAT,99.90,21.30,22.09,227.39,237.93,0.00390
0:1:21,1/1/2000,SAT,99.90,21.30,22.09,227.31,237.92,0.00355
0:1:21,1/1/2000,SAT,99.90,21.30,22.09,227.31,237.85,0.00363
0:1:21,1/1/2000,SAT,99.90,21.30,22.09,227.28,237.85,0.00349
