Time,Date,Day,Hum,Temp,Temp_feels,WE-mv,AUX-mv,LASER-V
0:1:5,1/1/2000,SAT,95.90,19.10,19.57,160.65,167.98,-0.07793
0:1:6,1/1/2000,SAT,95.90,19.10,19.57,183.59,191.93,-0.04808
0:1:6,1/1/2000,SAT,95.90,19.10,19.57,206.51,215.87,-0.01829
0:1:6,1/1/2000,SAT,95.90,19.10,19.57,229.51,239.87,0.01164
0:1:6,1/1/2000,SAT,95.90,19.10,19.57,229.55,239.93,0.01164
0:1:6,1/1/2000,SAT,95.90,19.10,19.57,229.53,239.89,0.01170
0:1:7,1/1/2000,SAT,95.90,19.10,19.57,229.69,240.10,0.01177
0:1:7,1/1/2000,SAT,95.90,19.10,19.57,229.77,240.06,0.01225
0:1:7,1/1/2000,SAT,93.50,19.00,19.40,229.74,239.99,0.01233
0:1:8,1/1/2000,SAT,93.50,19.00,19.40,229.91,240.24,0.01231
0:1:8,1/1/2000,SAT,93.50,19.00,19.40,229.90,240.34,0.01194
0:1:8,1/1/2000,SAT,93.50,19.00,19.40,229.93,240.42,0.01185
0:1:9,1/1/2000,SAT,93.50,19.00,19.40,229.88,240.39,0.01174
0:1:9,1/1/2000,SAT,93.50,19.00,19.40,229.86,240.33,0.01183
0:1:10,1/1/2000,SAT,93.50,19.00,19.40,229.92,240.34,0.01206
0:1:10,1/1/2000,SAT,93.50,19.00,19.40,229.88,240.20,0.01231
0:1:11,1/1/2000,SAT,93.50,19.00,19.40,229.81,240.26,0.01179
0:1:11,1/1/2000,SAT,93.50,19.00,19.40,229.80,240.27,0.01173
0:1:11,1/1/2000,SAT,93.50,19.00,19.40,229.53,240.13,0.01092
0:1:11,1/1/2000,SAT,93.50,19.00,19.40,229.48,240.15,0.01067
0:1:12,1/1/2000,SAT,93.50,19.00,19.40,229.50,240.09,0.01094
0:1:12,1/1/2000,SAT,93.50,19.00,19.40,229.57,240.03,0.01144
0:1:12,1/1/2000,SAT,93.50,19.00,19.40,229.58,240.10,0.01126
0:1:13,1/1/2000,SAT,93.50,19.00,19.40,229.54,240.13,0.01101
0:1:13,1/1/2000,SAT,93.50,19.00,19.40,229.40,240.07,0.01057
0:1:13,1/1/2000,SAT,93.50,19.00,19.40,229.43,240.05,0.01074
0:1:13,1/1/2000,SAT,93.30,19.00,19.39,229.33,240.04,0.01035
0:1:13,1/1/2000,SAT,93.30,19.00,19.39,229.40,240.12,0.01039
0:1:14,1/1/2000,SAT,93.30,19.00,19.39,229.37,240.03,0.01052
0:1:14,1/1/2000,SAT,93.30,19.00,19.39,229.32,240.08,0.01016
0:1:14,1/1/2000,SAT,93.30,19.00,19.39,229.20,240.06,0.00967
0:1:15,1/1/2000,SAT,93.30,19.00,19.39,229.17,240.18,0.00917
0:1:15,1/1/2000,SAT,93.30,19.00,19.39,228.98,240.12,0.00852
0:1:15,1/1/2000,SAT,93.30,19.00,19.39,228.94,240.10,0.00840
0:1:15,1/1/2000,SAT,93.30,19.00,19.39,229.11,240.13,0.00906
0:1:16,1/1/2000,SAT,93.30,19.00,19.39,229.07,240.09,0.00898
0:1:16,1/1/2000,SAT,93.30,19.00,19.39,229.29,240.10,0.00995
0:1:16,1/1/2000,SAT,93.30,19.00,19.39,229.31,240.06,0.01015
0:1:17,1/1/2000,SAT,93.30,19.00,19.39,229.37,240.11,0.01029
0:1:17,1/1/2000,SAT,93.30,19.00,19.39,229.35,240.14,0.01011
0:1:17,1/1/2000,SAT,93.30,19.00,19.39,229.42,240.23,0.01012
0:1:17,1/1/2000,SAT,93.20,19.00,19.39,229.42,240.18,0.01029
0:1:17,1/1/2000,SAT,93.20,19.00,19.39,229.61,240.30,0.01081
0:1:18,1/1/2000,SAT,93.20,19.00,19.39,229.67,240.38,0.01079
0:1:18,1/1/2000,SAT,93.20,19.00,19.39,229.49,240.38,0.01002
0:1:19,1/1/2000,SAT,93.20,19.00,19.39,229.38,240.37,0.00957
0:1:19,1/1/2000,SAT,93.20,19.00,19.39,229.13,240.22,0.00886
0:1:19,1/1/2000,SAT,93.20,19.00,19.39,229.08,240.15,0.00888
0:1:20,1/1/2000,SAT,93.20,19.00,19.39,229.08,240.08,0.00908
0:1:20,1/1/2000,SAT,93.20,19.00,19.39,228.93,239.98,0.00869
0:1:20,1/1/2000,SAT,93.20,19.00,19.39,228.84,239.93,0.00846
0:1:20,1/1/2000,SAT,93.20,19.00,19.39,228.82,239.78,0.00886
0:1:20,1/1/2000,SAT,93.20,19.00,19.39,228.69,239.65,0.00866
0:1:21,1/1/2000,SAT,93.20,19.00,19.39,228.78,239.70,0.00890
0:1:21,1/1/2000,SAT,93.20,19.00,19.39,228.95,239.76,0.00945
0:1:21,1/1/2000,SAT,93.80,19.00,19.40,228.99,239.71,0.00980
0:1:21,1/1/2000,SAT,93.80,19.00,19.40,229.08,239.71,0.01020
0:1:22,1/1/2000,SAT,93.80,19.00,19.40,229.02,239.73,0.00988
0:1:22,1/1/2000,SAT,93.80,19.00,19.40,228.95,239.67,0.00974
0:1:22,1/1/2000,SAT,93.80,19.00,19.40,229.20,239.74,0.01068
0:1:22,1/1/2000,SAT,93.80,19.00,19.40,229.28,239.80,0.01083
0:1:23,1/1/2000,SAT,93.80,19.00,19.40,229.18,239.90,0.01006
0:1:23,1/1/2000,SAT,93.80,19.00,19.40,229.30,240.01,0.01027
0:1:23,1/1/2000,SAT,93.80,19.00,19.40,229.34,240.02,0.01042
0:1:23,1/1/2000,SAT,93.80,19.00,19.40,229.22,239.90,0.01025
0:1:24,1/1/2000,SAT,93.80,19.00,19.40,229.39,240.21,0.01008
0:1:24,1/1/2000,SAT,93.80,19.00,19.40,229.35,240.18,0.01000
0:1:24,1/1/2000,SAT,93.80,19.00,19.40,229.45,240.27,0.01015
0:1:24,1/1/2000,SAT,93.80,19.00,19.40,229.63,240.34,0.01074
0:1:25,1/1/2000,SAT,93.80,19.00,19.40,229.63,240.37,0.01065
0:1:25,1/1/2000,SAT,93.80,19.00,19.40,229.80,240.42,0.01125
0:1:25,1/1/2000,SAT,93.80,19.00,19.40,229.83,240.32,0.01172
0:1:25,1/1/2000,SAT,93.80,19.00,19.40,229.80,240.31,0.01164
0:1:26,1/1/2000,SAT,93.80,19.00,19.40,229.80,240.27,0.01171
0:1:26,1/1/2000,SAT,93.80,19.00,19.40,229.92,240.39,0.01190
0:1:26,1/1/2000,SAT,93.80,19.00,19.40,229.86,240.30,0.01190
0:1:27,1/1/2000,SAT,93.80,19.00,19.40,229.75,240.26,0.01157
0:1:27,1/1/2000,SAT,93.80,19.00,19.40,229.73,240.30,0.01134
0:1:28,1/1/2000,SAT,93.80,19.00,19.40,229.70,240.31,0.01117
0:1:28,1/1/2000,SAT,93.80,19.00,19.40,229.64,240.29,0.01095
0:1:28,1/1/2000,SAT,93.80,19.00,19.40,229.50,240.31,0.01026
0:1:28,1/1/2000,SAT,93.80,19.00,19.40,229.59,240.41,0.01036
0:1:28,1/1/2000,SAT,93.80,19.00,19.40,229.63,240.46,0.01038
0:1:29,1/1/2000,SAT,93.80,19.00,19.40,229.79,240.57,0.01077
0:1:29,1/1/2000,SAT,93.80,19.00,19.40,229.70,240.53,0.01052
0:1:29,1/1/2000,SAT,94.50,19.00,19.42,229.82,240.56,0.01092
0:1:29,1/1/2000,SAT,94.50,19.00,19.42,229.88,240.59,0.01110
0:1:30,1/1/2000,SAT,94.50,19.00,19.42,229.97,240.53,0.01169
0:1:30,1/1/2000,SAT,94.50,19.00,19.42,230.05,240.63,0.01172
0:1:30,1/1/2000,SAT,94.50,19.00,19.42,230.00,240.67,0.01141
0:1:30,1/1/2000,SAT,94.50,19.00,19.42,230.07,240.60,0.01193
0:1:31,1/1/2000,SAT,94.50,19.00,19.42,230.13,240.64,0.01211
0:1:31,1/1/2000,SAT,94.50,19.00,19.42,230.08,240.55,0.01216
0:1:31,1/1/2000,SAT,94.50,19.00,19.42,229.84,240.38,0.01157
0:1:31,1/1/2000,SAT,94.50,19.00,19.42,229.90,240.29,0.01210
0:1:32,1/1/2000,SAT,94.50,19.00,19.42,229.77,240.27,0.01159
0:1:32,1/1/2000,SAT,94.50,19.00,19.42,229.87,240.26,0.01208
0:1:32,1/1/2000,SAT,94.50,19.00,19.42,229.82,240.26,0.01185
0:1:32,1/1/2000,SAT,94.50,19.00,19.42,229.87,240.18,0.01230
0:1:33,1/1/2000,SAT,94.50,19.00,19.42,229.96,240.15,0.01282
0:1:33,1/1/2000,SAT,94.50,19.00,19.42,229.91,240.14,0.01263
0:1:33,1/1/2000,SAT,94.60,18.90,19.32,229.77,240.03,0.01232
0:1:33,1/1/2000,SAT,94.60,18.90,19.32,229.76,240.09,0.01211
0:1:34,1/1/2000,SAT,94.60,18.90,19.32,229.91,240.18,0.01248
0:1:34,1/1/2000,SAT,94.60,18.90,19.32,230.01,240.28,0.01267
0:1:34,1/1/2000,SAT,94.60,18.90,19.32,230.04,240.18,0.01311
